"year","agency","name_of_not_for_profit"
"2019","Administration for Children's Services","Children’s Village"
"2019","Administration for Children's Services","Culture for One Foundation"
"2019","Administration for Children's Services","Day Care Council of New York"
"2019","Administration for Children's Services","The Door – A Center of Alternatives"
"2019","Administration for Children's Services","D.R.E.A.M.S Youth Build"
"2019","Administration for Children's Services","Easter Seals of New York"
"2019","Administration for Children's Services","Economic Mobility Pathways (EMPath)"
"2019","Administration for Children's Services","Educational Alliance, Inc"
"2019","Administration for Children's Services","The Family Center"
"2019","Administration for Children's Services","Family Health Centers at NYU Langone"
"2019","Administration for Children's Services","Friend of Island Academy"
"2019","Administration for Children's Services","Forestdale"
"2019","Administration for Children's Services","Good Shepherd Services"
"2019","Administration for Children's Services","Lower East Side Girls Club"
"2019","Administration for Children's Services","Montefiore"
"2019","Administration for Children's Services","Mount Sinai Adolescent Health Center"
"2019","Administration for Children's Services","National Arts Club"
"2019","Administration for Children's Services","New York Early Childhood Professional Development Institute"
"2019","Administration for Children's Services","New York Foundling"
"2019","Administration for Children's Services","Osborne Association"
"2019","Administration for Children's Services","Power of Two"
"2019","Administration for Children's Services","Puerto Rican Family Institute Inc."
"2019","Administration for Children's Services","Rising Ground"
"2019","Administration for Children's Services","Safe Horizons"
"2019","Administration for Children's Services","Seamen’s Society for Children and Families"
"2019","Administration for Children's Services","Voces Latinas"
"2019","Administration for Children's Services","YMCA of Greater New York"
"2019","Administrative Tax Appeals (Office of)","No organizations to report"
"2019","Administrative Trials and Hearings (Office of)","No organizations to report"
"2019","Aging (Department for the)","Carter Burden Network"
"2019","Aging (Department for the)","Young Adult Institute (YAI)"
"2019","Aging (Department for the)","New York University Alzheimer’s Disease Research Center"
"2019","Aging (Department for the)","The Teaching Kitchen at Lenox Hill Neighborhood House"
"2019","Aging (Department for the)","Mobilization for Justice & JASA"
"2019","Board of Elections","No organizations to report"
"2019","Board of Standards and Appeals","No organizations to report"
"2019","Borough President - Brooklyn","Make Music New York"
"2019","Borough President - Manhattan","Madison Square Park Conservancy"
"2019","Borough President - Manhattan","Wellness In The Schools"
"2019","Borough President - Manhattan","Mark DeGarmo Dance"
"2019","Borough President - Manhattan","Publicolor"
"2019","Borough President - Manhattan","HOPE Program"
"2019","Borough President - Manhattan","Harlem Stage"
"2019","Borough President - Manhattan","LSA Family Health Service"
"2019","Borough President - Manhattan","League of Women Voters"
"2019","Borough President - Manhattan","Reach Out And Read of Greater New York"
"2019","Borough President - Manhattan","Landmarks Conservancy"
"2019","Borough President - Manhattan","Poets House"
"2019","Borough President - Manhattan","Hester Street"
"2019","Borough President - Manhattan","West Side Community Garden"
"2019","Borough President - Manhattan","Nontraditional Employment for Women"
"2019","Borough President - Manhattan","The River Project"
"2019","Borough President - Manhattan","New York Sun Works"
"2019","Borough President - Manhattan","Project FIND"
"2019","Borough President - Manhattan","Solar One"
"2019","Borough President - Manhattan","Community Resource Exchange"
"2019","Borough President - Manhattan","Make The Road New York"
"2019","Borough President - Manhattan","Alvin Ailey Company"
"2019","Borough President - Manhattan","Jews For Racial & Economic Justice"
"2019","Borough President - Queens","110 Precinct Community Council, Inc."
"2019","Borough President - Queens","715 Veterans Association, Inc."
"2019","Borough President - Queens","American Foods Merchants Alliance, Inc."
"2019","Borough President - Queens","Apicha Community Health Center"
"2019","Borough President - Queens","Bangladesh Hindu Mandir, Inc."
"2019","Borough President - Queens","Bangladesh Vedanta Society New York, Inc."
"2019","Borough President - Queens","Battalion CRC | Battalion Pentecostal Assembly"
"2019","Borough President - Queens","Bay Terrace Jewish Center"
"2019","Borough President - Queens","Beijing Association of New York, Inc."
"2019","Borough President - Queens","CHAZAQ Organization USA, Inc."
"2019","Borough President - Queens","Chinese American Academic & Professional Society"
"2019","Borough President - Queens","Chinese Business Association of New York, Inc."
"2019","Borough President - Queens","Chinese Center on Long Island, Inc."
"2019","Borough President - Queens","Chinese-American Planning Council"
"2019","Borough President - Queens","Christ for the World Chapel"
"2019","Borough President - Queens","Church of South India Telugu Congregation NY, Inc."
"2019","Borough President - Queens","City University of New York"
"2019","Borough President - Queens","Corona Congregational Church, Inc."
"2019","Borough President - Queens","Corona-East Elmhurst Library Action Committee, Inc."
"2019","Borough President - Queens","CPC Nan Shan Senior Center"
"2019","Borough President - Queens","Deerfield Area Association, Inc."
"2019","Borough President - Queens","Department of Sanitation Columbia Association"
"2019","Borough President - Queens","Diocese of Brooklyn (Immaculate Conception Catholic Academy of Astoria)"
"2019","Borough President - Queens","Diocese of Brooklyn (St. Clare Roman Catholic Church)"
"2019","Borough President - Queens","District 46 of Toastmasters lnternational"
"2019","Borough President - Queens","Dominican Day Parade"
"2019","Borough President - Queens","Elmcor Youth & Adult Activities, Inc."
"2019","Borough President - Queens","Far Rockaway Church of Christ"
"2019","Borough President - Queens","Federation of Bangladeshi Associations in North America"
"2019","Borough President - Queens","Federation of Jewish Men’s Clubs"
"2019","Borough President - Queens","First Church of God"
"2019","Borough President - Queens","Flushing Chinese Business Association, Inc."
"2019","Borough President - Queens","Flushing Council on Culture and the Arts, Inc. (Flushing Town Hall)"
"2019","Borough President - Queens","Flushing Hospital Medical Center"
"2019","Borough President - Queens","Flushing Meadow Soap Box Derby, Inc."
"2019","Borough President - Queens","Forest Hills Jewish Center"
"2019","Borough President - Queens","Forest Hills Volunteer Ambulance Corps, Inc."
"2019","Borough President - Queens","Friends of Holy Martyrs Armenian Day School"
"2019","Borough President - Queens","Friends of the John D. Calandra Italian American Institute"
"2019","Borough President - Queens","Full Gospel Assembly (Queens Campus)"
"2019","Borough President - Queens","Galilee Baptist Church of Christ"
"2019","Borough President - Queens","GallopNYC"
"2019","Borough President - Queens","Ghyalsumdo Sewa Sanstha, Inc."
